age,education,ethnicity (white::other),gender (female::male),hours-per-week,income (<=50k::>50k)
59,9,0,0,40,1
58,11,1,0,40,0
43,14,1,0,40,1
21,9,0,0,40,1
45,9,1,0,40,1
53,9,1,1,50,0
41,15,1,0,50,0
27,6,1,1,40,1
53,10,1,0,50,0
38,14,1,0,35,0
31,13,1,0,70,0
41,9,1,0,35,1
22,10,1,1,40,1
43,14,1,0,60,1
41,10,1,0,40,1
27,10,1,1,35,1
41,10,1,0,40,1
36,15,1,0,45,0
49,13,1,1,40,0
20,9,1,0,45,1
58,9,1,1,45,1
35,8,0,1,40,1
30,9,1,0,40,0
21,9,1,0,40,1
29,12,1,0,45,1
40,9,1,1,40,1
54,13,0,1,40,0
35,13,1,0,60,0
35,13,1,0,50,1
40,13,1,1,40,1
59,9,0,1,40,1
43,10,1,0,50,1
39,6,1,0,60,0
51,4,0,1,30,1
71,10,1,1,60,1
33,8,0,1,40,1
28,9,0,0,35,1
30,9,1,0,40,1
20,3,1,0,40,1
51,9,1,0,50,1
39,9,1,1,40,0
62,10,0,0,40,0
37,9,1,0,60,1
28,5,1,0,50,1
23,9,0,0,48,1
39,13,1,1,30,1
50,13,1,0,65,0
31,4,1,0,40,1
45,13,1,0,50,0
23,13,0,0,40,1
47,6,1,0,40,1
59,9,1,1,18,1
32,12,1,0,40,1
82,4,1,0,5,1
49,13,1,0,55,0
74,9,1,0,17,1
22,10,1,0,35,1
32,10,1,0,55,1
34,13,1,0,50,0
59,13,1,0,60,0
36,13,1,0,50,0
59,7,1,1,40,1
47,13,1,0,70,0
53,9,1,0,45,1
25,10,1,0,35,1
44,13,0,0,65,1
57,15,1,1,35,0
42,13,1,0,80,0
58,6,1,0,40,1
39,13,1,0,40,1
32,9,0,0,40,1
45,4,1,0,48,1
47,13,0,1,35,0
52,10,1,0,50,1
56,2,1,0,25,1
52,9,1,1,40,1
34,9,0,1,35,1
36,4,1,0,35,1
41,9,1,0,40,1
30,10,1,0,40,1
44,13,0,0,40,1
17,10,0,1,40,1
34,10,1,1,40,1
41,10,0,0,40,1
29,9,1,0,40,1
25,5,1,0,48,1
42,13,1,0,40,1
48,10,1,0,40,0
26,11,1,0,55,1
64,9,1,1,40,0
46,13,1,0,45,1
38,13,1,0,50,0
49,7,1,0,40,1
23,10,0,1,20,1
46,13,1,1,40,0
30,9,1,0,55,1
49,9,1,0,40,0
47,11,1,0,40,1
44,13,1,0,50,0
31,9,1,0,50,1
19,9,1,0,50,1
45,12,1,1,38,1
34,13,1,0,40,0
26,9,1,0,40,1
38,9,1,0,40,0
31,10,1,1,43,1
36,12,1,0,50,1
31,13,1,0,60,0
30,13,1,0,40,1
37,9,1,0,40,0
30,13,0,0,50,0
21,9,0,1,30,1
73,6,1,1,10,1
38,14,1,0,40,0
30,6,1,0,50,1
33,9,1,0,50,0
52,13,1,0,40,0
58,10,1,1,46,1
34,14,1,1,50,1
35,9,1,0,40,1
59,9,1,0,40,0
45,13,1,1,40,1
27,10,1,0,48,1
31,16,1,0,50,0
45,10,1,0,50,1
40,9,1,1,25,1
27,15,1,0,40,1
19,9,1,0,20,1
29,3,1,0,25,1
34,10,1,0,72,1
32,12,1,0,40,1
49,7,1,0,40,1
33,7,1,1,40,0
74,4,1,0,2,1
62,13,1,0,50,0
39,9,1,0,40,1
43,9,1,1,40,1
22,10,1,1,60,1
24,9,1,0,45,1
76,9,1,0,40,0
25,10,0,1,40,1
19,10,1,1,28,1
31,12,1,1,41,1
53,7,1,1,40,1
61,9,1,0,3,1
47,13,1,0,40,1
37,9,1,1,45,1
50,13,1,0,30,1
27,10,1,0,44,1
58,9,1,1,40,1
43,9,0,0,40,1
39,12,1,0,40,1
36,10,1,1,35,1
56,13,1,0,50,1
26,9,1,0,55,1
23,13,1,1,38,1
47,7,0,0,40,1
68,8,1,1,30,1
47,10,0,0,40,1
45,10,1,0,40,0
26,10,1,0,60,1
20,9,1,0,40,1
46,10,1,1,40,1
37,12,1,0,50,0
37,10,1,0,45,1
43,10,1,0,42,1
59,14,1,1,40,1
39,9,1,1,40,1
32,10,1,1,54,1
63,10,1,0,16,1
45,13,1,0,60,0
59,13,1,1,40,1
36,8,1,0,35,1
26,9,1,0,40,1
34,9,1,1,40,1
41,9,1,0,40,0
26,9,0,0,40,1
53,9,1,1,40,1
33,9,1,1,35,0
46,13,1,0,50,0
79,9,0,1,30,1
31,9,1,1,40,1
24,9,1,0,40,1
57,9,1,1,62,1
40,9,1,1,47,1
41,11,0,0,84,1
20,10,1,0,26,1
45,7,0,1,40,1
27,11,1,1,40,1
36,3,1,0,40,1
30,9,1,0,40,1
36,13,1,1,40,0
25,9,0,0,40,1
30,10,1,1,25,1
31,9,1,1,40,1
49,9,1,0,45,0
26,7,1,0,20,1
25,13,1,0,40,1
29,11,1,1,40,1
24,10,1,1,52,1
41,9,1,0,40,0
35,14,1,0,40,0
57,13,1,1,40,0
21,7,1,1,40,1
29,6,0,1,32,1
36,10,1,0,40,1
20,10,1,1,25,1
51,13,1,0,40,0
39,7,1,0,40,1
36,13,1,0,50,1
40,15,1,0,70,0
61,9,1,0,50,1
38,15,1,0,60,1
20,10,1,0,35,1
21,9,1,1,35,1
40,9,1,1,40,1
46,6,1,0,45,1
21,10,1,0,54,1
35,6,0,0,50,1
39,13,1,0,40,1
38,9,1,0,60,1
30,9,1,1,40,1
28,5,0,0,40,1
32,13,1,0,40,0
46,11,1,0,40,0
40,11,1,0,40,1
47,9,0,1,40,0
44,6,1,0,40,1
38,9,1,0,40,1
51,9,1,0,20,0
46,13,1,0,40,0
51,16,1,0,60,0
45,16,1,0,40,0
20,10,1,1,20,1
44,13,1,0,45,1
33,11,1,0,45,1
18,9,1,1,30,1
61,15,1,0,40,0
50,13,1,1,40,1
47,9,0,0,40,1
34,13,1,0,50,0
53,9,0,0,60,1
39,10,1,0,40,1
58,9,1,0,40,0
66,9,0,0,18,1
26,7,1,0,50,1
41,3,1,0,40,1
47,10,1,0,40,1
31,11,0,0,40,1
52,10,1,0,40,0
29,12,1,0,50,0
43,5,0,1,50,1
42,14,1,0,40,0
35,10,0,1,30,1
41,9,1,0,40,1
34,13,1,0,60,0
52,10,1,0,40,1
61,10,1,0,40,1
39,9,1,0,40,1
19,10,1,1,25,1
46,13,1,0,40,0
39,10,1,0,45,1
22,10,1,0,50,1
30,9,1,1,40,1
40,11,1,1,32,1
43,13,1,0,40,1
37,3,1,0,36,1
23,12,1,0,20,1
39,12,1,0,59,1
54,14,1,0,40,1
46,10,1,0,60,1
20,10,1,1,40,1
50,13,1,1,50,0
17,6,1,1,15,1
36,9,1,0,40,1
37,9,1,0,45,1
53,9,1,1,38,1
50,9,1,0,40,0
38,9,1,0,40,1
63,9,1,0,32,1
53,9,1,0,50,0
40,13,1,1,50,1
23,10,1,0,50,1
20,9,1,0,43,1
46,10,0,0,40,0
28,6,0,0,40,1
59,14,1,0,50,1
41,13,1,0,40,0
33,1,1,0,40,1
56,8,1,0,40,1
50,9,1,0,55,0
31,13,1,1,50,1
41,11,1,0,50,1
38,13,1,1,40,0
25,12,1,1,40,1
18,9,0,1,12,1
49,13,0,1,40,1
39,10,1,0,40,1
22,10,1,1,20,1
21,10,1,1,25,1
35,13,1,0,40,1
21,9,1,1,40,1
38,9,1,0,40,0
55,4,1,1,20,1
31,9,1,0,55,1
17,7,1,0,20,1
31,13,1,0,50,0
25,13,1,0,40,1
39,14,1,0,55,0
50,4,1,0,40,1
38,13,1,1,20,0
50,10,1,0,60,1
63,6,1,0,40,1
31,9,1,0,50,1
23,13,1,1,40,1
18,10,1,0,20,1
43,13,1,1,48,1
34,10,1,0,50,0
18,7,1,0,35,1
46,9,0,0,40,0
35,13,1,1,40,0
46,14,1,1,38,1
59,11,1,0,40,0
31,4,1,1,30,1
27,9,1,1,37,1
41,14,1,0,40,1
42,9,0,0,40,1
55,13,1,0,40,0
34,9,0,1,40,1
44,9,1,1,40,1
26,13,1,1,50,1
36,11,1,1,40,0
69,5,1,0,35,1
33,10,1,1,40,1
30,11,1,0,40,1
35,9,1,1,16,0
25,13,1,1,40,0
21,10,0,0,40,1
18,7,0,0,15,1
35,10,1,0,60,0
20,9,1,0,50,1
26,14,1,0,40,1
46,13,1,0,40,1
31,13,1,1,36,1
40,15,1,0,40,0
40,9,1,1,52,1
31,13,1,1,40,1
32,16,1,0,40,1
23,10,1,0,40,1
25,14,1,0,40,1
37,10,1,0,50,1
18,10,1,1,20,1
55,9,1,1,38,1
52,5,1,1,40,1
26,9,1,1,40,1
37,10,1,0,40,0
39,9,1,1,45,1
62,13,1,1,40,0
19,10,1,1,25,1
47,9,1,0,45,0
51,13,1,0,40,0
55,9,1,1,40,1
30,9,1,0,35,1
59,10,1,0,36,1
45,6,1,0,65,1
52,10,1,0,45,0
21,9,1,0,20,1
31,9,1,0,55,1
29,10,0,0,40,1
24,9,1,0,40,1
17,6,1,0,24,1
47,9,0,1,40,1
46,10,1,0,50,0
32,9,1,1,28,1
34,6,1,0,44,1
63,8,1,0,40,1
21,10,1,0,25,1
18,9,0,0,36,1
49,16,1,0,50,0
81,9,1,1,20,1
36,12,1,0,40,0
47,9,1,0,40,0
36,14,1,0,50,0
39,11,1,0,60,1
46,13,1,1,35,1
43,10,1,1,40,0
39,13,1,1,35,1
29,10,1,1,40,1
23,9,0,1,16,1
57,6,1,0,43,1
38,9,0,1,42,1
25,13,1,1,40,1
39,10,1,0,40,1
24,10,0,0,40,1
56,14,1,0,44,0
39,8,1,1,40,1
23,11,1,1,60,1
17,7,0,1,20,1
67,9,1,1,16,1
41,13,0,0,50,1
24,13,1,1,50,1
51,13,0,0,40,0
30,9,1,1,60,1
47,9,1,0,40,0
56,9,1,0,32,1
51,9,1,0,38,1
57,10,1,0,55,1
34,10,1,1,40,1
24,13,1,0,40,1
57,9,1,0,40,1
38,9,1,0,40,0
23,9,1,1,40,1
35,4,1,0,40,1
58,9,1,0,52,1
19,9,1,1,12,1
19,4,1,0,40,1
68,16,1,0,60,0
43,10,1,0,40,0
17,7,1,1,20,1
53,16,1,0,50,0
37,16,0,0,99,0
21,13,0,0,25,1
63,9,1,0,40,0
31,10,1,0,50,1
29,9,1,0,40,1
43,10,1,0,40,0
27,15,1,1,65,0
25,9,1,0,32,1
28,9,1,1,40,1
54,9,1,1,35,1
74,10,1,1,12,1
31,10,0,1,32,1
23,10,1,0,48,1
19,13,1,1,30,1
39,1,1,1,20,1
61,9,1,1,40,1
59,9,1,1,40,0
27,11,1,1,36,0
19,10,0,1,20,1
23,9,1,0,40,1
25,9,0,1,35,1
40,10,1,0,48,0
53,7,1,1,37,1
32,13,1,0,45,1
72,16,1,0,25,0
61,4,1,0,40,1
42,9,1,0,40,1
17,6,0,1,20,1
73,9,1,0,16,1
41,10,1,0,40,1
23,10,0,1,20,1
23,9,1,1,40,1
65,11,1,0,15,1
45,9,1,1,50,1
52,13,0,0,40,0
24,13,0,1,27,1
23,11,1,0,40,1
30,10,1,1,40,1
26,13,1,0,40,1
37,9,1,0,56,1
17,9,1,0,40,1
31,9,1,0,40,1
52,9,1,1,40,1
63,13,1,0,27,1
27,9,1,1,60,1
31,5,1,0,40,1
71,9,1,1,35,1
35,13,1,0,60,1
44,9,1,1,38,1
36,14,0,0,40,1
22,13,1,1,20,1
32,9,1,0,48,1
30,13,1,1,40,1
60,9,1,0,40,1
25,10,1,1,40,1
76,4,1,1,12,1
41,9,1,0,40,1
26,4,0,0,40,1
45,8,0,0,40,1
32,10,1,1,40,1
22,9,1,0,40,1
39,13,1,0,40,0
63,13,1,0,40,1
23,12,1,1,40,1
61,6,1,0,40,1
31,11,1,0,40,1
25,5,1,0,45,1
33,9,1,1,40,1
39,9,1,1,36,1
53,13,0,1,40,1
26,13,1,1,40,1
21,10,1,0,32,1
18,9,0,0,40,1
34,13,1,0,60,0
44,14,0,0,40,0
31,9,1,0,50,1
44,9,1,0,40,0
42,15,1,0,60,0
43,9,1,0,44,1
33,13,0,0,38,0
21,10,0,1,30,1
30,9,1,0,40,0
55,9,1,0,60,1
57,10,1,1,40,1
37,9,1,0,50,1
32,9,1,0,40,0
62,13,1,0,60,0
31,13,0,0,40,0
51,13,1,0,50,0
37,14,1,1,45,1
45,3,1,0,38,1
47,10,1,0,40,1
31,9,1,0,75,1
75,7,1,0,30,1
43,14,0,0,50,1
39,12,1,0,60,0
30,13,1,0,40,0
27,3,1,0,40,1
44,9,0,0,40,1
53,14,1,1,35,0
40,13,1,0,40,1
18,7,1,1,20,1
33,13,0,0,40,1
20,9,1,0,40,1
38,10,0,0,50,1
48,9,1,1,35,1
46,9,1,0,40,1
51,9,1,0,40,1
35,9,1,1,30,1
24,4,1,0,40,1
30,10,1,0,50,1
70,9,1,0,30,1
26,9,1,0,44,1
34,9,1,0,40,1
46,9,1,0,40,0
70,9,1,1,5,1
37,10,1,0,40,1
36,10,1,1,35,1
23,5,1,1,40,1
28,9,1,0,40,1
44,10,1,0,50,0
58,9,1,0,30,1
53,10,1,0,60,0
23,10,1,0,40,1
26,9,0,0,40,1
21,10,1,0,40,1
34,14,1,1,50,1
43,7,1,0,40,1
22,10,0,0,20,1
41,10,0,0,50,0
36,9,0,0,40,1
41,13,1,1,20,1
27,9,1,0,40,1
42,10,1,0,60,1
27,11,1,1,35,1
41,9,1,0,40,1
32,13,0,1,40,0
21,10,0,0,20,1
44,13,0,0,50,0
29,13,1,0,40,1
19,10,1,1,22,1
21,10,1,0,40,1
46,9,1,0,40,1
38,13,1,0,55,0
43,10,1,0,48,0
54,9,1,0,50,0
38,14,1,0,60,0
18,10,1,0,40,1
50,9,1,1,40,0
30,11,1,1,36,0
30,5,1,0,40,1
28,9,0,1,35,1
26,11,1,1,45,1
37,10,1,0,43,1
32,9,1,0,50,0
64,14,1,1,5,0
18,9,1,1,28,1
30,10,1,0,30,1
36,11,1,1,8,1
18,7,0,0,30,1
27,9,1,0,40,1
49,5,1,0,40,1
46,9,1,0,43,0
37,9,1,0,40,1
30,10,1,0,40,1
29,9,0,1,30,1
22,9,1,0,40,1
25,9,1,0,30,1
38,9,0,1,30,1
32,13,1,1,40,1
35,10,1,0,50,1
56,14,1,0,80,0
29,10,1,1,40,1
41,9,1,0,40,1
47,9,1,0,40,1
23,13,0,1,40,1
46,13,1,0,45,0
28,9,0,0,40,1
39,13,1,1,20,1
42,10,1,1,50,1
39,9,1,0,48,0
68,4,1,0,30,1
37,13,1,0,55,0
57,15,1,1,40,1
22,10,0,1,30,1
24,11,1,0,30,0
19,10,1,0,50,1
55,12,0,1,30,1
37,9,1,0,40,1
37,10,0,1,40,1
28,13,1,0,50,1
27,9,1,1,40,1
40,13,1,1,20,1
51,9,1,1,40,1
52,11,1,0,56,1
74,10,1,1,3,1
49,10,1,0,50,0
20,10,1,1,40,1
40,10,1,1,50,1
80,10,1,0,60,1
63,10,1,0,40,1
63,9,1,0,45,0
51,10,1,1,40,1
23,9,1,1,40,1
66,9,1,0,20,1
33,9,1,0,66,1
49,9,1,0,43,1
20,10,1,0,32,1
33,12,1,0,60,0
26,10,1,0,40,1
52,9,1,0,50,0
33,13,1,0,50,0
47,13,1,0,45,1
23,9,0,0,75,1
53,12,1,0,40,1
19,10,1,0,20,1
26,10,1,0,40,1
53,4,1,0,60,0
65,9,1,0,10,1
68,13,1,0,30,1
30,6,1,0,18,1
28,7,1,0,45,1
54,6,1,0,45,1
30,9,1,0,10,1
22,10,1,0,50,1
25,9,1,0,30,1
19,7,1,0,20,1
19,10,1,1,35,1
32,15,1,0,40,0
23,13,1,1,40,1
51,13,1,0,45,1
25,10,1,0,44,0
46,13,0,1,40,1
38,10,1,1,50,1
26,9,0,0,40,0
46,9,1,1,40,1
25,13,1,1,40,1
20,10,1,1,16,1
29,14,1,0,35,1
51,14,1,0,50,0
40,10,1,0,52,1
24,10,1,1,40,1
24,13,1,0,50,1
31,11,0,1,24,1
54,9,1,1,30,1
34,12,1,0,60,1
19,10,1,0,66,1
21,9,0,0,40,1
21,6,1,0,70,1
23,10,1,0,24,1
37,10,1,0,40,1
40,14,1,0,46,0
57,9,1,0,30,1
48,13,1,0,40,0
24,7,0,0,40,1
43,10,1,0,40,1
32,13,1,1,20,1
40,9,1,1,40,1
52,15,1,0,35,0
49,9,1,0,40,1
45,10,0,0,40,1
62,9,1,0,40,1
29,11,1,0,40,1
49,9,1,1,40,1
55,10,0,1,40,1
20,10,0,0,72,1
37,13,1,0,40,1
43,13,1,0,40,0
29,10,1,1,40,1
44,9,1,1,40,0
28,10,1,0,40,0
38,10,1,1,45,1
45,11,1,0,50,0
22,10,1,0,40,1
19,10,1,1,20,1
20,8,1,0,40,1
60,9,1,0,40,1
30,9,1,1,40,1
22,10,0,0,40,1
51,10,1,1,60,1
31,13,0,1,40,1
48,9,1,1,40,1
43,13,1,0,40,0
51,9,0,0,40,1
41,11,1,0,48,0
62,11,1,0,40,1
50,9,0,0,40,0
46,9,1,1,40,0
54,10,1,0,60,0
68,9,1,0,45,0
23,12,1,0,30,1
49,14,1,1,35,1
24,6,1,0,40,1
30,9,0,0,40,1
38,9,1,0,45,1
34,9,1,1,35,1
22,10,1,0,40,1
30,4,1,0,40,1
61,4,1,0,31,1
36,9,1,0,40,1
51,11,1,0,40,1
43,3,0,1,40,0
54,10,1,0,48,0
63,9,1,1,25,1
51,10,1,0,40,0
63,6,1,0,40,1
51,14,1,0,60,0
27,9,1,1,35,1
35,12,1,0,40,0
31,13,1,1,25,0
46,9,1,0,40,1
53,11,0,0,40,0
26,10,1,0,24,1
43,9,1,0,40,1
39,9,1,0,50,0
50,9,1,0,40,1
54,9,1,0,40,0
62,10,1,1,45,0
57,10,1,1,40,1
19,10,0,0,24,1
29,9,1,0,20,1
20,9,0,0,40,1
53,13,1,0,55,0
18,10,1,0,40,1
22,10,1,0,40,1
23,9,1,0,40,1
69,7,1,0,20,1
56,4,1,0,40,1
53,13,0,0,35,1
28,9,1,0,40,1
28,13,0,0,40,1
33,9,0,0,84,0
48,9,1,1,30,1
61,9,1,0,40,0
49,13,1,0,45,1
48,10,1,0,40,1
32,4,1,0,40,1
51,9,1,0,40,0
27,13,1,0,40,1
19,10,1,0,14,1
47,9,1,0,50,1
25,13,1,0,60,1
72,10,0,0,40,1
29,7,1,0,40,1
22,9,1,1,40,1
57,9,0,0,48,1
50,12,1,0,60,1
45,10,1,0,30,1
52,10,1,0,40,0
53,14,1,0,48,0
36,9,1,0,48,1
46,9,1,0,40,0
20,9,1,1,20,1
75,3,0,0,10,1
32,9,1,0,40,0
28,9,1,0,40,1
53,14,1,1,40,1
17,7,1,1,35,1
46,11,1,1,38,1
39,12,1,1,30,1
38,10,1,0,40,1
36,9,1,0,60,1
63,13,0,1,21,1
28,2,1,0,43,1
28,13,1,0,45,1
49,9,1,1,35,1
43,10,1,0,40,1
38,13,1,0,45,0
39,9,1,0,62,1
42,9,0,1,40,1
40,9,1,0,40,1
45,9,1,1,10,1
29,9,1,1,40,1
24,13,1,0,45,1
30,10,1,0,50,0
44,10,0,0,40,1
40,9,1,0,24,1
30,9,1,1,35,1
42,14,1,1,40,1
52,11,1,1,35,1
42,10,0,0,40,0
39,10,1,0,52,0
43,10,1,0,45,1
62,9,1,0,40,1
30,11,1,0,40,1
83,9,1,1,20,1
39,13,1,0,55,0
41,9,1,1,20,1
49,14,1,1,40,0
25,7,1,0,40,1
48,7,1,0,40,1
59,12,1,0,8,1
44,13,1,0,40,1
36,5,1,0,56,1
40,9,1,0,40,1
21,9,0,1,35,1
41,10,1,1,38,1
24,13,1,1,50,1
67,9,1,0,60,1
24,13,1,0,38,1
50,13,1,0,60,1
48,14,1,0,35,1
55,12,0,0,20,0
29,9,1,0,40,1
50,13,1,1,36,1
64,6,1,0,40,0
49,5,0,0,37,1
20,9,0,0,52,1
30,9,1,1,40,1
37,13,0,0,30,1
52,9,1,0,40,0
22,10,1,0,25,1
77,9,1,1,14,1
19,10,1,0,15,1
52,9,1,0,55,0
42,13,0,1,40,1
35,9,1,1,36,1
27,10,1,1,50,1
54,9,0,1,38,1
37,9,1,0,40,1
37,6,1,0,35,1
28,4,1,0,30,1
63,13,1,0,40,1
19,9,1,0,42,1
28,13,1,1,40,1
23,10,1,0,40,1
44,15,1,1,40,0
31,10,1,0,40,0
35,13,0,0,50,0
64,9,1,1,50,1
40,9,1,0,40,0
59,12,1,1,50,1
22,10,1,1,40,1
40,10,1,1,44,1
35,4,1,0,40,1
20,10,1,1,15,1
35,9,1,0,40,1
28,10,1,0,48,1
28,9,1,0,40,1
37,10,1,0,20,1
72,16,1,0,6,0
25,12,1,0,60,1
37,9,1,1,40,1
19,10,1,1,45,1
31,11,1,1,38,1
41,9,1,1,40,1
31,6,1,0,40,0
44,9,1,0,40,1
20,10,0,0,47,1
57,10,1,0,50,1
26,9,1,1,12,1
44,9,1,0,60,1
29,9,1,0,40,1
36,9,1,0,40,0
40,11,1,0,40,0
21,12,0,0,35,1
21,10,1,0,70,1
34,15,1,0,48,0
24,13,1,1,15,1
28,6,1,1,40,1
35,9,1,0,50,1
35,9,1,0,40,1
38,13,1,1,40,1
44,9,0,1,40,1
39,13,1,1,40,0
57,9,1,1,40,1
19,10,1,1,40,1
29,11,1,0,48,1
23,9,0,0,40,1
50,9,1,1,40,1
51,10,1,0,20,1
28,11,0,0,40,1
44,13,1,0,60,1
29,13,0,0,40,1
31,9,1,0,45,1
27,13,1,0,45,0
34,13,1,0,45,1
50,15,0,0,50,0
27,10,1,0,40,0
31,11,0,1,40,1
46,12,1,0,40,0
39,10,0,1,40,1
40,13,1,0,55,0
28,7,1,0,40,1
18,9,1,1,40,1
51,9,1,1,40,1
58,9,1,0,50,1
66,9,1,0,40,1
36,9,0,1,20,1
38,7,1,1,60,1
25,12,1,0,40,1
25,9,1,1,22,1
90,7,1,0,40,1
41,10,1,1,40,1
34,9,0,1,40,1
33,13,1,1,40,1
33,9,1,1,40,1
35,13,1,0,45,0
39,9,0,1,20,1
59,9,1,0,60,1
19,10,1,0,16,1
39,9,1,0,38,1
19,10,1,0,40,1
27,9,1,1,40,1
52,4,1,0,40,1
59,9,1,1,24,1
28,10,1,1,40,1
37,9,1,1,50,1
50,6,1,0,99,1
36,13,1,0,50,0
34,13,1,0,60,0
23,10,1,0,40,1
19,7,1,1,30,1
33,9,1,0,84,1
27,14,1,0,52,1
31,14,1,0,40,1
21,6,1,0,36,1
31,9,1,0,54,1
59,9,1,0,40,0
40,14,1,0,48,0
19,7,1,0,40,1
47,9,1,0,50,1
34,13,1,0,40,1
57,9,1,0,78,1
51,5,0,0,40,1
21,10,1,0,20,1
30,10,1,0,50,1
46,10,1,0,45,1
40,13,1,1,45,1
52,1,1,0,40,1
23,13,0,0,50,1
90,13,1,1,10,1
25,9,1,1,50,1
43,10,1,0,45,1
38,10,0,1,40,0
22,11,1,1,30,1
33,13,1,1,40,1
34,10,1,0,40,0
65,11,1,0,20,1
50,9,1,0,15,1
29,13,1,0,48,1
25,9,1,0,40,1
54,10,1,1,40,1
49,9,1,0,40,0
44,10,1,0,40,1
24,5,1,1,40,1
25,13,1,0,38,1
65,9,1,0,20,1
56,9,0,0,45,1
39,15,1,0,60,0
23,13,1,1,40,1
20,10,1,1,20,1
24,3,1,0,40,1
41,10,1,0,50,0
40,10,1,0,50,1
55,9,1,0,50,0
38,9,1,1,48,1
23,9,0,1,40,1
44,13,1,0,50,1
45,10,1,0,40,0
20,10,1,1,12,1
29,9,1,0,40,1
43,9,1,0,40,1
30,8,1,0,40,1
28,10,1,1,38,1
31,9,1,0,40,0
52,9,1,1,40,1
36,13,1,1,50,0
38,9,1,0,45,1
66,10,1,0,40,1
63,11,1,0,40,1
21,10,1,0,35,1
33,9,1,0,40,1
46,10,1,1,50,1
20,10,1,0,20,1
47,13,1,0,60,1
33,16,1,0,55,0
66,4,0,0,30,1
20,10,1,1,30,1
28,9,1,0,40,1
46,9,1,1,28,1
25,10,0,0,45,1
37,9,1,0,40,1
31,5,1,0,60,1
49,9,1,0,40,1
22,10,1,0,20,1
52,11,1,1,20,0
29,12,1,1,50,1
18,7,1,1,20,1
31,10,1,0,35,1
23,10,0,1,35,1
27,11,0,1,40,0
54,6,1,0,65,1
50,9,1,1,49,1
46,14,1,0,40,0
24,13,1,1,40,1
17,7,1,1,18,1
49,9,1,0,45,1
54,9,1,0,40,0
41,13,1,0,60,0
49,9,1,0,40,1
36,13,1,1,35,1
23,9,0,0,40,1
63,10,1,1,40,1
67,9,1,0,40,0
23,9,1,0,40,1
22,13,1,0,40,1
66,11,1,0,30,1
25,7,1,0,50,1
30,10,1,1,20,1
35,9,1,0,40,1
67,4,1,0,40,1
30,8,0,0,40,1
26,10,0,1,38,1
34,9,1,0,40,1
21,10,1,0,40,1
18,8,1,0,10,1
21,9,1,0,40,1
76,5,1,0,40,1
51,10,0,0,70,1
26,9,1,1,56,1
18,8,1,1,25,1
18,7,1,0,40,1
34,11,1,0,50,1
59,9,1,1,40,1
55,13,1,0,45,0
33,10,1,0,72,1
25,9,1,1,10,1
48,9,1,1,10,1
64,13,1,1,5,1
47,14,1,1,45,0
26,10,1,1,40,1
36,12,1,0,48,0
21,9,1,0,40,1
54,4,1,1,25,1
30,9,1,0,44,1
41,9,1,0,40,1
53,14,1,1,35,0
34,10,0,0,30,1
20,10,1,1,35,1
24,6,1,0,49,1
26,13,1,1,20,1
25,9,1,1,48,1
35,10,1,1,36,1
41,10,1,0,40,0
33,7,1,0,40,1
18,10,1,1,25,1
27,9,1,0,38,1
32,9,1,1,35,1
51,9,0,0,40,1
38,11,0,1,40,1
41,10,1,1,25,1
26,10,1,0,40,1
38,11,1,0,35,1
54,5,1,0,45,0
30,13,1,1,60,1
31,10,1,1,30,1
26,13,1,0,40,1
75,16,1,0,3,1
29,14,0,0,40,1
61,9,1,0,50,0
24,10,1,1,45,1
22,8,1,0,30,1
34,12,1,0,40,1
42,10,1,0,40,1
24,7,1,0,40,1
42,12,1,0,40,1
27,9,0,0,40,1
39,13,1,1,50,0
20,9,1,0,40,1
51,7,0,1,40,1
68,13,1,0,30,1
28,9,1,0,48,1
43,9,1,1,40,1
35,10,1,0,40,1
44,9,0,1,40,1
41,13,1,0,40,1
44,9,1,0,45,0
20,9,1,1,40,1
46,9,1,0,75,0
27,12,1,0,70,0
32,10,1,0,50,1
46,10,1,0,50,1
26,9,1,0,24,1
20,10,0,1,40,1
36,9,1,1,40,1
49,13,1,0,40,0
32,9,1,0,55,0
32,13,1,0,50,0
49,13,1,0,40,0
36,9,1,0,45,1
22,10,1,0,25,1
52,9,1,1,40,1
42,9,1,0,50,0
22,10,1,0,40,1
72,9,1,1,16,1
30,13,1,1,40,1
44,10,1,0,40,1
23,13,1,1,45,1
22,10,1,0,20,1
59,13,1,0,60,1
46,9,1,1,40,1
30,11,1,0,40,1
64,4,1,1,30,1
31,10,0,1,40,1
64,9,1,0,20,1
45,9,1,1,40,1
59,9,1,0,40,0
32,9,0,1,40,1
43,13,0,0,40,1
66,6,1,1,20,1
23,10,1,0,45,1
49,9,1,0,40,1
32,8,1,0,40,1
49,11,1,1,40,1
33,10,1,0,40,1
28,15,1,1,85,1
47,9,0,0,40,1
41,9,1,0,40,1
34,14,1,0,40,0
25,9,1,1,35,1
20,10,1,1,40,1
21,10,1,1,15,1
25,9,1,0,30,1
46,5,1,0,40,1
37,2,0,0,40,1
41,10,1,0,56,0
44,9,1,0,50,1
30,9,1,0,40,0
54,10,1,0,40,1
35,9,1,0,99,1
58,9,1,1,12,1
21,10,1,1,25,1
35,14,1,0,40,0
35,15,1,0,80,0
19,10,1,0,20,1
48,9,1,1,40,1
56,10,1,0,40,1
65,10,1,1,35,1
40,13,0,0,35,1
26,9,1,1,40,1
45,10,1,0,40,1
26,10,1,0,40,1
